13.25,-6.02057601628729,-6.02065474984214,-3.01028448857053,-21.9562652327016,-29.4241877268458,-104.057078619354,-86.0542766615216,-87.9383112316862,-81.9945667867286,-94.792630071517
13.5,-6.02054276968872,-6.020635368295,-3.01031080120808,-21.4570561198554,-29.316568470823,-103.526120122229,-85.2468964972886,-86.8639213963478,-81.1317994801023,-94.4546172186939
13.75,-6.02050937011756,-6.0206112692819,-3.01033955046424,-20.9378001396848,-29.2031317309629,-103.010037579337,-84.40677981197,-85.7013437057483,-80.2073084530364,-94.1226288914223
14,-6.02047586520268,-6.02058285036588,-3.01037051363174,-20.3975290013785,-29.0853134842853,-102.455203158817,-83.5300501591148,-84.4321460661093,-79.2069862154478,-93.7962600415663
14.25,-6.02044212154847,-6.02055085518466,-3.01040338432105,-19.8350691511155,-28.9648425113983,-101.747976755231,-82.6116460098704,-83.0294991226701,-78.1098965359715,-93.4750978692088
14.5,-6.02040780305047,-6.02051639972655,-3.01043777263194,-19.2490145471822,-28.8438722173818,-100.675477493087,-81.6449058234132,-81.45203579306,-76.8831428482356,-93.1587234774556
14.75,-6.02037235539189,-6.02048098663438,-3.0104732061504,-18.6376896350731,-28.7251708008931,-98.9266370844898,-80.6209656676429,-79.6307195771606,-75.4707603779303,-92.8467207048001
15,-6.0203349839041,-6.02044649987863,-3.01050913846096,-17.9991003030793,-28.6124070181435,-96.2066728393943,-79.5279928310864,-77.4362345956028,-73.7656946459284,-92.5386970186626
15.25,-6.02029452409921,-6.02041519605615,-3.01054502413183,-17.3308698575089,-28.5106017275325,-92.3255861661595,-78.3512040872528,-74.5766898323365,-71.5202262605862,-92.2343631511581
15.5,-6.0202485472599,-6.02038966843321,-3.01058078080303,-16.6301549511411,-28.4269251435402,-86.7687448122543,-77.0832320736037,-70.0972563915822,-67.8969299859284,-91.933965436059
15.75,-6.02232653433732,-6.0224749254576,-3.01059861805762,-15.8947309106082,-28.3698525135602,-73.3163582676664,-78.7151958990078,-56.179429519742,-56.184641791012,-91.7284249429461
16,-6.02066787894881,-6.02087206611294,-3.01063447384504,-15.11737944341,-28.3580585812748,-78.5120959454396,-72.0603393717338,-68.2700656924416,-68.241426659026,-91.3542465411174
16.25,-6.02047080729121,-6.02074185603539,-3.01065877643483,-14.2960868378739,-28.4148420159499,-78.9917395090622,-70.431898095954,-70.59302540418,-70.4641728116751,-91.0525249214823
